itemid,country_alpha2,hudoc_decision_body,case_importance,has_separate_opinion,represented,num_violations_found,violation_type,num_applicants,judgment_year,judgment_month,violated_articles_count,violated_article_6,violated_article_3,violated_article_5,violated_article_13,violated_article_8,violated_article_P1_1,violated_article_2,violated_article_10,violated_article_11,violated_article_14,violated_article_34,violated_article_9,violated_article_P1_3,violated_article_38,violated_article_P4_2,violated_article_7,violated_article_P7_4,violated_article_P1_2,violated_article_18,violated_article_P7_2,app_sex_male_ratio,app_sex_female_ratio,app_sex_unknown_ratio,app_age_child_ratio,app_age_adolescent_ratio,app_age_adult_ratio,app_age_elderly_ratio,app_age_unknown_ratio,app_birth_year_median,app_unique_nationality_count,app_multi_nationality_flag,perapp_unique_beneficiary_category_count,perapp_has_joint_beneficiary_category_flag,rl_violation_type_procedural_ratio,rl_violation_type_both_ratio,rl_violation_duration_months,rl_violation_duration_months_missing_ratio,gdp_per_capita_log1p,gdp_constant_2015_log1p
001-67578,ua,CHAMBER,4,0,0,1,substantive,1,2004,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1970.0,1,0,1,0,0.0,0.0,30.0,0.0,7.24566795368,25.3081874265
001-67580,ua,CHAMBER,1,0,1,1,substantive,10,2004,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.3,0.0,0.0,0.0,0.9,0.1,0.0,1950.5,1,0,10,0,0.0,0.0,42.0,0.0,7.24566795368,25.3081874265
001-67582,tr,CHAMBER,4,0,1,1,substantive,1,2004,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1952.0,1,0,1,0,0.0,0.0,215.9,0.0,8.69627708289,26.9061255402
001-67584,ru,CHAMBER,3,0,1,7,substantive,1,2004,11,5,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1966.0,1,0,1,0,0.0,0.0,40.5,0.0,8.31956258591,27.6187695988
001-67649,ru,CHAMBER,4,0,0,1,procedural,1,2004,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1946.0,1,0,1,0,1.0,0.0,0.0,1.0,8.31956258591,27.6187695988
001-67713,cz,CHAMBER,4,0,1,1,substantive,2,2004,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,9.37446016615,25.7028020095
001-67795,bg,CHAMBER,2,0,1,1,substantive,1,2004,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,8.12878796259,24.3456255744
001-67816,ro,GRANDCHAMBER,1,1,1,1,substantive,2,2004,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1959.5,1,0,0,0,0.0,0.0,0.0,1.0,8.15937203783,25.5822704849
001-67745,md,CHAMBER,3,0,1,1,substantive,1,2004,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0.0,0.0,0.0,1.0,6.80036881776,22.3638867498
001-67756,ua,CHAMBER,4,0,0,1,substantive,2,2004,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1959.5,1,0,2,0,0.0,0.0,24.0,0.0,7.24566795368,25.3081874265
001-67760,tr,CHAMBER,4,0,1,1,procedural,5,2004,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,0.0,0.0,0.2,0.8,0.0,0.0,1981.0,1,0,0,0,1.0,0.0,70.0,0.0,8.69627708289,26.9061255402
001-67762,cz,CHAMBER,4,0,1,1,substantive,1,2004,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1938.0,1,0,1,0,0.0,0.0,54.0,0.0,9.37446016615,25.7028020095
001-67765,tr,CHAMBER,3,0,1,3,procedural,1,2004,12,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1961.0,1,0,1,0,1.0,0.0,12.0,0.0,8.69627708289,26.9061255402
001-67768,pl,CHAMBER,4,0,0,1,procedural,1,2004,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1954.0,1,0,1,0,1.0,0.0,87.43,0.0,8.81176057849,26.4847052035
001-67875,at,CHAMBER,4,0,1,1,procedural,1,2004,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1940.0,1,0,1,0,1.0,0.0,189.1,0.0,10.5082201171,26.5211535454
001-67897,bg,CHAMBER,3,0,1,7,substantive,1,2004,12,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1967.0,1,0,1,0,0.0,0.0,34.0,0.0,8.12878796259,24.3456255744
001-67906,fr,CHAMBER,2,0,0,4,substantive,2,2004,12,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,1952.0,1,0,2,0,0.0,0.0,0.0,1.0,10.4236473239,28.4043626897
001-67915,ua,CHAMBER,4,0,0,1,substantive,1,2005,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1949.0,1,0,1,0,0.0,0.0,38.5,0.0,7.53707572929,25.338437547
001-67917,tr,CHAMBER,3,1,1,2,substantive,1,2005,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1969.0,1,0,1,0,0.0,0.0,0.0,1.0,8.90012011803,26.9933263593
001-67930,it,CHAMBER,1,0,1,1,substantive,1,2005,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1949.0,1,0,1,0,0.0,0.0,0.0,1.0,10.3754805714,28.2953642317
001-67948,ru,CHAMBER,4,0,0,1,substantive,1,2005,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1940.0,1,0,1,0,0.0,0.0,0.0,1.0,8.58006565259,27.680804665
001-67950,ru,CHAMBER,4,0,0,1,substantive,1,2005,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1940.0,1,0,1,0,0.0,0.0,60.0,0.0,8.58006565259,27.680804665
001-67961,be,CHAMBER,1,0,1,1,substantive,1,2005,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1967.0,1,0,0,0,0.0,0.0,0.0,1.0,10.5135438792,26.7270266834
001-67980,bg,CHAMBER,3,0,1,4,substantive,1,2005,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1973.0,1,0,1,0,0.0,0.0,69.0,0.0,8.26894359516,24.4138107079
001-67982,bg,CHAMBER,3,0,1,3,both,1,2005,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1971.0,1,0,1,0,0.0,1.0,5.7,0.0,8.26894359516,24.4138107079
001-67984,tr,CHAMBER,3,0,1,2,procedural,6,2005,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1.0,0.0,120.0,0.0,8.90012011803,26.9933263593
001-67988,ua,CHAMBER,3,0,0,1,substantive,1,2005,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1919.0,1,0,1,0,0.0,0.0,38.0,0.0,7.53707572929,25.338437547
001-67990,md,CHAMBER,3,1,1,1,substantive,1,2005,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1925.0,1,0,1,0,0.0,0.0,78.0,0.0,6.9425353562,22.4362074127
001-67992,bg,CHAMBER,4,0,1,2,substantive,1,2005,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1968.0,1,0,1,0,0.0,0.0,121.0,0.0,8.26894359516,24.4138107079
001-68067,ru,CHAMBER,3,0,0,2,substantive,1,2005,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1953.0,1,0,1,0,0.0,0.0,9.5,0.0,8.58006565259,27.680804665
001-68077,se,CHAMBER,1,1,1,1,substantive,1,2005,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0.0,0.0,84.0,0.0,10.6777401314,26.7565272637
001-68084,tr,CHAMBER,1,0,1,1,substantive,2,2005,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1962.5,1,0,2,1,0.0,0.0,0.0,1.0,8.90012011803,26.9933263593
001-68097,fr,CHAMBER,2,1,1,1,procedural,1,2005,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1949.0,1,0,1,0,1.0,0.0,98.0,0.0,10.4544192233,28.423072228
001-68098,bg,CHAMBER,4,0,1,2,substantive,1,2005,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1973.0,1,0,1,0,0.0,0.0,134.0,0.0,8.26894359516,24.4138107079
001-68110,pl,CHAMBER,4,1,1,1,procedural,1,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1934.0,1,0,1,0,1.0,0.0,141.0,0.0,8.99279652831,26.5167930647
001-68112,gb,CHAMBER,4,0,1,1,substantive,1,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1946.0,1,0,0,0,0.0,0.0,51.0,0.0,10.6511524231,28.5929023239
001-68114,sk,CHAMBER,3,0,1,1,substantive,1,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1931.0,1,0,1,0,0.0,0.0,0.0,1.0,9.36242099919,24.8392957255
001-68116,pl,CHAMBER,4,0,1,1,substantive,1,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1927.0,1,0,1,0,0.0,0.0,124.0,0.0,8.99279652831,26.5167930647
001-68119,md,CHAMBER,3,0,1,1,procedural,1,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1980.0,1,0,1,0,1.0,0.0,0.0,1.0,6.9425353562,22.4362074127
001-68152,at,CHAMBER,4,0,1,1,procedural,1,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1.0,0.0,63.5,0.0,10.5495004158,26.5440920854
001-68158,at,CHAMBER,4,0,1,2,substantive,1,2005,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1964.0,1,0,1,0,0.0,0.0,0.0,1.0,10.5495004158,26.5440920854
001-68166,at,CHAMBER,3,0,1,1,substantive,1,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1944.0,1,0,1,0,0.0,0.0,0.0,1.0,10.5495004158,26.5440920854
001-68175,ro,CHAMBER,1,0,0,1,substantive,2,2005,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,57.0,0.0,8.43793426991,25.6278951494
001-68148,ru,CHAMBER,3,0,1,3,substantive,1,2005,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0.0,0.0,48.0,0.0,8.58006565259,27.680804665
001-68178,se,CHAMBER,2,1,1,1,procedural,1,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1918.0,1,0,1,0,1.0,0.0,0.0,1.0,10.6777401314,26.7565272637
001-68226,ru,CHAMBER,3,0,0,1,procedural,1,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1.0,0.0,54.0,0.0,8.58006565259,27.680804665
001-68224,gb,CHAMBER,1,0,1,2,substantive,2,2005,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1959.5,1,0,2,0,0.0,0.0,72.0,0.0,10.6511524231,28.5929023239
001-68229,ee,CHAMBER,3,0,1,2,substantive,1,2005,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1964.0,1,0,1,0,0.0,0.0,18.73,0.0,9.25106362098,23.7149948098
001-68231,sk,CHAMBER,4,0,1,1,substantive,1,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1933.0,1,0,0,0,0.0,0.0,120.0,0.0,9.36242099919,24.8392957255
001-68234,sk,CHAMBER,4,0,0,1,substantive,1,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0.0,0.0,153.0,0.0,9.36242099919,24.8392957255
001-68366,tr,CHAMBER,4,0,1,1,procedural,1,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1920.0,1,0,0,0,1.0,0.0,72.0,0.0,8.90012011803,26.9933263593
001-68368,ua,CHAMBER,4,0,1,1,substantive,1,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1948.0,1,0,0,0,0.0,0.0,75.0,0.0,7.53707572929,25.338437547
001-68379,ru,CHAMBER,2,0,1,2,both,3,2005,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1953.0,1,0,3,0,0.0,1.0,56.0,0.0,8.58006565259,27.680804665
001-68381,ru,CHAMBER,2,0,1,2,substantive,1,2005,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0.0,0.0,0.0,1.0,8.58006565259,27.680804665
001-68393,at,CHAMBER,4,0,1,1,substantive,1,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1960.0,1,0,1,0,0.0,0.0,129.0,0.0,10.5495004158,26.5440920854
001-68394,lt,CHAMBER,3,0,1,1,substantive,1,2005,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1972.0,1,0,1,0,0.0,0.0,0.0,1.0,8.96929140722,24.1953821887
001-68398,de,CHAMBER,4,0,1,1,procedural,1,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1952.0,1,0,1,0,1.0,0.0,139.0,0.0,10.4655414047,28.7198814311
001-68407,ru,CHAMBER,4,0,0,1,substantive,1,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1965.0,1,0,1,0,0.0,0.0,24.0,0.0,8.58006565259,27.680804665
001-68409,ru,CHAMBER,4,0,0,1,substantive,1,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1970.0,1,0,1,0,0.0,0.0,18.0,0.0,8.58006565259,27.680804665
001-68412,ru,CHAMBER,4,0,0,1,substantive,1,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1965.0,1,0,1,0,0.0,0.0,24.0,0.0,8.58006565259,27.680804665
001-68413,ru,CHAMBER,4,0,0,1,substantive,2,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1946.0,1,0,2,0,0.0,0.0,48.0,0.0,8.58006565259,27.680804665
001-68415,ru,CHAMBER,4,0,0,1,substantive,3,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,1931.0,1,0,3,0,0.0,0.0,48.0,0.0,8.58006565259,27.680804665
001-68419,ru,CHAMBER,2,1,1,2,procedural,2,2005,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,1948.5,1,0,2,0,1.0,0.0,42.0,0.0,8.58006565259,27.680804665
001-68423,gb,CHAMBER,3,0,1,2,substantive,38,2005,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,0.0,1.0,10.6511524231,28.5929023239
001-78989,pl,CHAMBER,1,0,1,1,substantive,16,2005,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,0.0,1.0,8.99279652831,26.5167930647
001-68504,tr,CHAMBER,4,0,1,2,substantive,5,2005,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0.0,0.0,0.0,1.0,0.0,0.0,1960.0,1,0,1,0,0.0,0.0,0.0,1.0,8.90012011803,26.9933263593
001-68506,tr,CHAMBER,4,0,1,1,substantive,1,2005,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1959.0,1,0,0,0,0.0,0.0,0.0,1.0,8.90012011803,26.9933263593
001-68509,tr,CHAMBER,4,0,1,1,substantive,3,2005,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1965.0,1,0,0,0,0.0,0.0,0.0,1.0,8.90012011803,26.9933263593
001-68512,tr,CHAMBER,4,0,1,1,substantive,1,2005,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1964.0,1,0,0,0,0.0,0.0,0.0,1.0,8.90012011803,26.9933263593
001-68516,ru,CHAMBER,3,0,0,1,procedural,1,2005,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1954.0,1,0,1,0,1.0,0.0,0.0,1.0,8.58006565259,27.680804665
001-68541,tr,CHAMBER,3,0,1,1,procedural,1,2005,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,8.90012011803,26.9933263593
001-68548,gb,CHAMBER,1,1,1,1,procedural,1,2005,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,1.0,0.0,0.0,1.0,10.6511524231,28.5929023239
001-68562,ru,CHAMBER,4,0,1,1,substantive,2,2005,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1956.5,1,0,2,0,0.0,0.0,18.6,0.0,8.58006565259,27.680804665
001-68578,fi,CHAMBER,3,0,1,1,procedural,1,2005,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1955.0,1,0,1,0,1.0,0.0,0.0,1.0,10.5726204438,26.13094446
001-68580,md,CHAMBER,3,0,1,1,substantive,1,2005,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1943.0,1,0,1,0,0.0,0.0,0.0,1.0,6.9425353562,22.4362074127
001-68582,pl,CHAMBER,4,0,1,1,procedural,1,2005,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1929.0,1,0,1,0,1.0,0.0,142.0,0.0,8.99279652831,26.5167930647
001-68601,tr,CHAMBER,1,0,1,4,both,3,2005,3,4,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1930.0,1,0,3,0,0.0,1.0,0.0,1.0,8.90012011803,26.9933263593
001-68608,ru,CHAMBER,4,0,0,1,substantive,1,2005,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1968.0,1,0,1,0,0.0,0.0,60.0,0.0,8.58006565259,27.680804665
001-68616,at,CHAMBER,4,0,1,1,procedural,1,2005,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1949.0,1,0,1,0,1.0,0.0,131.0,0.0,10.5495004158,26.5440920854
001-68625,bg,CHAMBER,3,0,1,3,substantive,1,2005,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1958.0,1,0,1,0,0.0,0.0,0.0,1.0,8.26894359516,24.4138107079
001-68632,hr,CHAMBER,4,0,1,1,substantive,2,2005,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,1966.5,1,0,0,0,0.0,0.0,90.0,0.0,9.25383346812,24.6285642422
001-68644,tr,CHAMBER,4,0,1,1,substantive,1,2005,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1959.0,1,0,1,0,0.0,0.0,213.47,0.0,8.90012011803,26.9933263593
001-68648,ua,CHAMBER,2,0,1,1,substantive,1,2005,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0.0,0.0,0.0,1.0,7.53707572929,25.338437547
001-68650,pl,CHAMBER,3,0,1,1,substantive,1,2005,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1950.0,1,0,1,0,0.0,0.0,0.0,1.0,8.99279652831,26.5167930647
001-68670,tr,CHAMBER,3,1,1,4,both,1,2005,3,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1944.0,1,0,1,0,0.0,1.0,14.0,0.0,8.90012011803,26.9933263593
001-68673,hr,CHAMBER,4,0,1,1,substantive,1,2005,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1966.0,1,0,1,0,0.0,0.0,48.0,0.0,9.25383346812,24.6285642422
001-68711,ua,CHAMBER,3,0,1,2,both,1,2005,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1964.0,1,0,0,0,0.0,1.0,15.0,0.0,7.53707572929,25.338437547
001-68717,hu,CHAMBER,4,0,0,1,procedural,1,2005,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1948.0,1,0,1,0,1.0,0.0,0.0,1.0,9.32484735361,25.4569066847
001-68719,ua,CHAMBER,4,0,0,1,substantive,1,2005,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1934.0,1,0,1,0,0.0,0.0,44.0,0.0,7.53707572929,25.338437547
